region,indicator,Unit,Date,Value,Preferred
Mariposa,selfsuppliedsurface,Mgal/d,01-01-2010 00:00,0.24,YES
Mariposa,selfsupplied,Mgal/d,01-01-2000 00:00,0.98,YES
Mariposa,selfsupplied,Mgal/d,01-01-2005 00:00,2.24,YES 
Mariposa,selfsupplied,Mgal/d,01-01-2010 00:00,1.01,YES
Mariposa,selfpercapitause,gallons/day,01-01-2010 00:00,75,NO
Mariposa,public,Mgal/d,01-01-2005 00:00,4.09,YES
Mariposa,public,Mgal/d,01-01-2010 00:00,0.47,YES
Mariposa,publicpercapita,gallons/day,01-01-2010 00:00,98,NO
Mariposa,total,Mgal/d,01-01-2005 00:00,6.33,YES
Mariposa,total,Mgal/d,01-01-2010 00:00,1.48,YES
Mendocino,population,thousands,01-01-2000 00:00,33.24,YES
Mendocino,population,thousands,01-01-2005 00:00,30.465,YES
Mendocino,population,thousands,01-01-2010 00:00,25.901,YES
Mendocino,groundwater,Mgal/d,01-01-2000 00:00,2.24,YES
Mendocino,groundwater,Mgal/d,01-01-2005 00:00,3.05,YES
Mendocino,groundwater,Mgal/d,01-01-2010 00:00,1.63,YES
