region,indicator,Unit,Date,Value,Preferred
Siskiyou,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.15,YES
Siskiyou,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,2.54,YES
Siskiyou,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.32,YES
Siskiyou,selfsupplied,Mgal/d,01/01/2000 00:00:00,1.54,YES
Siskiyou,selfsupplied,Mgal/d,01/01/2005 00:00:00,5.93,YES
Siskiyou,selfsupplied,Mgal/d,01/01/2010 00:00:00,1.22,YES
Siskiyou,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Siskiyou,public,Mgal/d,01/01/2005 00:00:00,3.85,YES
Siskiyou,public,Mgal/d,01/01/2010 00:00:00,3.55,YES
Siskiyou,publicpercapita,gallons/day,01/01/2010 00:00:00,124,NO
Siskiyou,total,Mgal/d,01/01/2005 00:00:00,9.78,YES
Siskiyou,total,Mgal/d,01/01/2010 00:00:00,4.77,YES
Solano,population,thousands,01/01/2000 00:00:00,8.64,YES
Solano,population,thousands,01/01/2005 00:00:00,35.4,YES
Solano,population,thousands,01/01/2010 00:00:00,5.054,YES
Solano,groundwater,Mgal/d,01/01/2000 00:00:00,0.58,YES
Solano,groundwater,Mgal/d,01/01/2005 00:00:00,1.71,YES
Solano,groundwater,Mgal/d,01/01/2010 00:00:00,0.33,YES
Solano,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.06,YES
Solano,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0,YES
Solano,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.05,YES
Solano,selfsupplied,Mgal/d,01/01/2000 00:00:00,0.64,YES
Solano,selfsupplied,Mgal/d,01/01/2005 00:00:00,1.71,YES
Solano,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.38,YES
Solano,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Solano,public,Mgal/d,01/01/2005 00:00:00,37.47,YES
Solano,public,Mgal/d,01/01/2010 00:00:00,39.29,YES
Solano,publicpercapita,gallons/day,01/01/2010 00:00:00,96,NO
Solano,total,Mgal/d,01/01/2005 00:00:00,39.18,YES
Solano,total,Mgal/d,01/01/2010 00:00:00,39.67,YES
Sonoma,population,thousands,01/01/2000 00:00:00,108.81,NO
Sonoma,population,thousands,01/01/2005 00:00:00,102.384,NO
Sonoma,population,thousands,01/01/2010 00:00:00,76.951,NO
Sonoma,groundwater,Mgal/d,01/01/2000 00:00:00,7.34,YES
